source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Dingelstad.xyz'}",,Finding the Right PaaS for Kubernetes,"Aah, Kubernetes. The new hype-driven developer’s crack. I couldn’t escape it
either. Join me on my journey through a handful of interesting PaaS projects for k8s!",https://bram.dingelstad.xyz/blog/finding-the-right-paas-for-k8s/,https://dingelstad.xyz/blog/finding-the-right-paas-for-k8s/cover.jpg,2020-03-30T22:20:19Z,"Aah, Kubernetes. The new hype-driven developer’s crack. I couldn’t escape it
either. Join me on my journey through a handful of interesting PaaS projects for k8s!
We all know the moment. One of the people on your team catches a bug unlike any
software one … [+9289 chars]"
"{'id': None, 'name': 'Linkedin.com'}",,Containers Are Not the Future,I saw this tweet the other day and it prompted me to start arranging some more thoughts on the subject - putting pen to paper so to speak. As I'll touch below you don't see engineers making statements like this that often in public as the container crowd will…,https://www.linkedin.com/pulse/containers-future-ian-eyberg,https://media-exp1.licdn.com/dms/image/C5612AQGVI--g22iaag/article-cover_image-shrink_720_1280/0?e=1590019200&v=beta&t=gNT7vTKK5wmQY8zIpxdzly-Z7xSXzZDTeDXrzCDFcYI,2020-03-19T15:18:34Z,"I saw this tweet the other day and it prompted me to start arranging some more thoughts on the subject - putting pen to paper so to speak.
As I'll touch below you don't see engineers making statements like this that often in public as the container crowd wil… [+10130 chars]"
"{'id': None, 'name': 'Theregister.co.uk'}",Lindsay Clark,"MariaDB cuddles Kubernetes, snuggles ServiceNow and readies analytics with latest update to cloudy SkySQL","K8s 'kind of a universal key' for going multi-cloud MariaDB has updated its cloud-native SkySQL database, promising a slew of features addressing deployment, management and analytics.…",https://www.theregister.co.uk/2020/03/31/mariadb_skysql/,https://regmedia.co.uk/2018/06/14/shutterstock_dog_and_cat.jpg,2020-03-31T23:01:07Z,"MariaDB has updated its cloud-native SkySQL database, promising a slew of features addressing deployment, management and analytics.
Designed to support cloud-neutral and hybrid installations, the MySQL cousin now employs Kubernetes for container services to … [+3289 chars]"
"{'id': None, 'name': 'Habr.com'}",aSkobin,Как устроена Вечерняя школа по Kubernetes,"Слёрм запустил Вечернюю школу по Kubernetes: цикл бесплатных лекций и платных практических занятий для тех, кто изучает k8s с нуля. Занятия ведут Марсель Ибраев, инженер Southbridge, CKA, и Сергей Бондарев, инженер Southbridge, СКА, один из разработчиков kube…",https://habr.com/ru/company/southbridge/blog/497688/#post-content-body,https://habrastorage.org/webt/f_/4l/ul/f_4lulishblv5w2t1etazonrlo8.jpeg?v=1,2020-04-17T07:35:52Z,"Kubernetes: , k8s ., Southbridge, CKA, , Southbridge, , kubespray pull request.
, , .
Docker. : Docker, k8s. , .
: 
: 
.
: 
. , , - . .
, . Kubernetes. 40 .
 :20 : Kubernetes, . , , . Pod, ReplicaSet, Deployment21 : Deployment, Probes, Limits/Request… [+471 chars]"
"{'id': None, 'name': 'Theregister.co.uk'}",Simon Sharwood,VMware finally delivers its K8s and vSphere combo,"And tosses in a new cloudy manager for good measure VMware has finally delivered on its vision to integrate Kubernetes and vSphere, by making Cloud Foundation 4.0 generally available.…",https://www.theregister.co.uk/2020/04/15/cloud_foundation_4_debuts/,https://regmedia.co.uk/2020/04/15/vmware_cloud_foundation_with_k8s.jpg,2020-04-15T09:00:11Z,"VMware has finally delivered on its vision to integrate Kubernetes and vSphere, by making Cloud Foundation 4.0 generally available.
Virtzilla teased this at VMworld 2019 and then launched it in early March 2020. But that was really more teasing because it tu… [+1150 chars]"
"{'id': None, 'name': 'Theregister.co.uk'}",Tim Anderson,"Microsoft brings K8s Security Center out of preview, replaces CoreOS Container Linux with Flatcar","Azure security dashboard now covers Kubernetes service - at a price Microsoft's integration of Azure Kubernetes Service (AKS) with Security Center is now out of preview. In addition, the company has added Flatcar Linux to the Azure marketplace to replace Core…",https://www.theregister.co.uk/2020/03/24/microsoft_brings_k8s_security_center/,https://regmedia.co.uk/2020/03/24/security.jpg,2020-03-24T14:15:11Z,"Microsoft's integration of Azure Kubernetes Service (AKS) with Security Center is now out of preview. In addition, the company has added Flatcar Linux to the Azure marketplace to replace CoreOS Container Linux, which goes end of life in May.
The Azure Securi… [+2649 chars]"
"{'id': None, 'name': 'Habr.com'}",sobolevn,9 лучших опенсорс находок за март 2020,"Доброго карантинного апреля, дамы и господа. Подготовил для вас подборку самых интересных находок из опенсорса за март 2020. За полным списком новых полезных инструментов, статей и докладов можно обратиться в мой телеграм канал @OpensourceFindings ( по ссылке…",https://habr.com/ru/post/495882/#post-content-body,https://habrastorage.org/webt/i_/ya/om/i_yaom-er8tm9bmnyiohv-wuauu.gif?v=1,2020-04-06T09:44:40Z,", . 2020. 
 , @OpensourceFindings (, ).
 .: Rust, TypeScript, JavaScript, Go, Python.: , , , .
 ( 2019!).
glitch-this
 , """" gif'.Python.
k9s
 k8s .
 Go.
gqless
GraphQL . , .
 TypeScript.
django-schema-graph
Django , . .
 Python.
misspell-fixer-… [+714 chars]"
"{'id': None, 'name': 'Habr.com'}",n_bogdanov,Loghouse 0.3 — долгожданное обновление нашей системы работы с логами в Kubernetes,"У компании «Флант» есть ряд Open Source-разработок, преимущественно для Kubernetes, и loghouse — одна из самых популярных. Это наш инструмент для централизованного логирования в K8s, который был представлен более 2 лет назад. Как мы упоминали в недавней стать…",https://habr.com/ru/company/flant/blog/493158/#post-content-body,https://habrastorage.org/webt/ac/qe/lz/acqelzxpdkabvtthknpon8dnv1g.png?v=1,2020-03-23T09:04:17Z,"«» Open Source-, Kubernetes, loghouse . K8s, 2 .
, , . loghouse, .
loghouse Kubernetes- , , , . , SQL-, , .
 loghouse :
<ul><li> -, merge-;</li><li> , ;</li><li> gem -;</li><li> fluentd (loghouse-fluentd:latest - gemset').</li></ul>, issues GitHub, .
, ,… [+1580 chars]"
"{'id': None, 'name': 'Inside.com.tw'}",客座投稿,【FinTech 觀點】用飲料店當例子，簡單理解微服務與 Open API !,Open API 最近成為台灣 Fintech 非常重要的關鍵字！但它到底是什麼？這篇文章會給您最詳盡的解釋。,https://www.inside.com.tw/article/19372-FinTech-Microservice-Open-API,https://inside-assets1.inside.com.tw/2020/3/0i2hg5i8mamt2bngfkkmmf3a4n95o5.png?auto=compress&fit=max&w=730,2020-03-31T04:32:07Z,"INSIDE Medium Alex
 (Microservice) Open API Open API Open API 
 Open API (Microservice) 
<ol><li></li><li> (Microservice)</li><li> Open API</li><li> (Microservice) Open API </li></ol>
ATM
 ETL 
<ol><li></li><li> 3 1 2 </li></ol> 2.0 3 700 3 
 (Microser… [+979 chars]"
"{'id': None, 'name': 'Habr.com'}",BANTIK,[Перевод] Сравнение стоимости на Managed Kubernetes (2020),"Прим. перев. : Американский DevOps-инженер Sid Palas, пользуясь недавним анонсом Google Cloud как инфоповодом, провёл сравнение стоимости услуги Managed Kubernetes (в разных конфигурациях) от ведущих мировых облачных провайдеров. Дополнительным плюсом его раб…",https://habr.com/ru/company/flant/blog/492226/#post-content-body,https://habrastorage.org/webt/rz/jt/ps/rzjtpszklkplbjbrity8q1m6ia0.png?v=1,2020-03-20T07:48:03Z,". .: DevOps- Sid Palas, Google Cloud , Managed Kubernetes ( ) . Jupyter Notebook, ( Python) .TL;DR: Azure Digital Ocean , (control plane), . GKE. , , // «» ( ).
 ( worker')
Google Cloud 10 GKE (managed) Kubernetes.
:
<ul><li> Google Kubernetes Engine (GCP… [+1149 chars]"
